,floor,url,price,title,community,location,community_c,community_loc,duration
502,低层/5层,http://sh.lianjia.com/zufang/shz3455158.html,3800,温馨之家，吉宅出租，低区出入方便，毗邻地铁,茶陵路65弄,斜土路,茶陵路65弄,"121.468119,31.194850",1274.0
37,中层/7层,http://sh.lianjia.com/zufang/shz3428558.html,3500,光线充足，生活很便利，降价房源，实地看房,裕德路66弄,徐家汇,裕德路66弄,"121.435142,31.184863",1296.0
73,中层/7层,http://sh.lianjia.com/zufang/shz1106107.html,3900,抢鲜笋盘，紧邻地铁，1室0厅，实地看房,裕德路66弄,徐家汇,裕德路66弄,"121.435142,31.184863",1296.0
460,高层/7层,http://sh.lianjia.com/zufang/shz3429281.html,3700,1室0厅1卫，吉宅出租，紧邻地铁，闹中取静,裕德路66弄,徐家汇,裕德路66弄,"121.435142,31.184863",1296.0
309,中层/7层,http://sh.lianjia.com/zufang/shz3443629.html,2600,裕德路66弄，光线充足，上门实拍，温馨之家,裕德路66弄,徐家汇,裕德路66弄,"121.435142,31.184863",1296.0
636,中层/3层,http://sh.lianjia.com/zufang/shz3410707.html,3500,长乐路335号，错过不再有，1室1厅1卫，黄金楼层,长乐路335号,衡山路,长乐路335号,"121.456341,31.219721",1298.0
787,中层/3层,http://sh.lianjia.com/zufang/shz3402510.html,3700,稀缺南北通，新出房源，一链倾城，一室小户型,长乐路335号,衡山路,长乐路335号,"121.456341,31.219721",1298.0
234,高层/7层,http://sh.lianjia.com/zufang/shz3368728.html,4000,新鲜上架，出行方便，如您所见，上门实勘,东安小区,徐家汇,东安小区,"121.457209,31.189286",1308.0
36,中层/6层,http://sh.lianjia.com/zufang/shz3306642.html,3800,茶陵小区，一室小户型，钥匙在手，上门实勘,茶陵小区,斜土路,茶陵小区,"121.468195,31.195872",1326.0
944,高层/6层,http://sh.lianjia.com/zufang/shz3414344.html,2800,生活很便利，有爱有家，采光无遮挡，温馨之家,茶陵小区,斜土路,茶陵小区,"121.468195,31.195872",1326.0
835,中层/5层,http://sh.lianjia.com/zufang/shz3451748.html,3990,东安二村，新鲜上架，温馨一室，毗邻地铁,东安二村,徐家汇,东安二村,"121.454379,31.188034",1337.0
513,低层/6层,http://sh.lianjia.com/zufang/shz3453627.html,3500,东安二村，真实在租，新出好房，上门实拍,东安二村,徐家汇,东安二村,"121.454379,31.188034",1337.0
305,中层/5层,http://sh.lianjia.com/zufang/shz3449428.html,4000,如您所见，温馨一室，景观房，刚刚降价,东安二村,徐家汇,东安二村,"121.454379,31.188034",1337.0
594,低层/6层,http://sh.lianjia.com/zufang/shz3425918.html,4000,东安二村，一室小户型，低楼层，上门实拍,东安二村,徐家汇,东安二村,"121.454379,31.188034",1337.0
148,低层/16层,http://sh.lianjia.com/zufang/shz3387898.html,4000,清枫大楼，上下楼方便，小户型，上门实拍,清枫大楼,斜土路,清枫大楼,"121.456354,31.198930",1358.0
222,高层/6层,http://sh.lianjia.com/zufang/shz3402680.html,4000,随时看房，温馨之家，采光这边独好，地铁直达,金牛苑,上海南站,金牛苑,"121.501789,31.236612",1376.0
915,中层/6层,http://sh.lianjia.com/zufang/shz3393924.html,3800,黄金楼层，如您所见，毗邻地铁，1室1厅,金牛苑,上海南站,金牛苑,"121.501789,31.236612",1376.0
